Name,Registration No.,Type,E-mail,Telephone,Fax No.,Address,Contact Person,Correspondence Address,Validity,Trade Name,Exchange Name,Website,Correspondence E-mail,Correspondence Telephone,Correspondence Fax,Mobile No.
4A SECURITIES LIMITED,INZ000246535,Registered Stock Brokers in Equity Derivative Segment,amitkumae.4agroup@gmail.com,9101149002226,,"109,DLF TOWER-A JASOLA VIHAR",,,"Apr 10, 2012 - Perpetual",4A SECURITIES LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
4A SECURITIES LIMITED,INZ000246535,Registered Stock Brokers in Currency Derivative Segment,amitkumae.4agroup@gmail.com,9101149002226,,"109,DLF TOWER-A JASOLA VIHAR",,,"Apr 10, 2012 - Perpetual",4A SECURITIES LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
4A SECURITIES LIMITED,INZ000246535,Registered Stock Brokers in equity segment,amitkumae.4agroup@gmail.com,9101149002226,,"109,DLF TOWER-A JASOLA VIHAR",,,"Apr 10, 2012 - Perpetual",4A SECURITIES LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
4A SECURITIES LIMITED,INZ000246535,Registered Stock Brokers in Equity Derivative Segment,amitkumae.4agroup@gmail.com,9101149002226,,"109,DLF TOWER-A JASOLA VIHAR",,,"Apr 10, 2012 - Perpetual",4A SECURITIES LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
4A SECURITIES LIMITED,INZ000246535,Registered Stock Brokers in equity segment,amitkumae.4agroup@gmail.com,9101149002226,,"109,DLF TOWER-A JASOLA VIHAR",,,"Apr 10, 2012 - Perpetual",4A SECURITIES LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
4A SECURITIES LIMITED,INZ000246535,Registered Stock Brokers in equity segment,amitkumae.4agroup@gmail.com,9101149002226,,"109,DLF TOWER-A JASOLA VIHAR",,,"Apr 10, 2012 - Perpetual",4A SECURITIES LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
4A SECURITIES LIMITED,INZ000246535,Registered Stock Brokers in equity segment,amitkumae.4agroup@gmail.com,9101149002226,,"109,DLF TOWER-A JASOLA VIHAR",,,"Apr 10, 2012 - Perpetual",4A SECURITIES LIMITED,NSE Clearing Limited,,,,,
5PAISA CAPITAL LIMITED,INZ000010231,Registered Stock Brokers in equity segment,teamcompliance@5Paisa.com,0917738225531,,"IIFL HOUSE, SUN INFOTECH PARK, ROAD NO. 16V, B-23, MIDC, THANE INDUSTRIAL AREA, WAGLE ESTATE,",,,"Sep 30, 2015 - Perpetual",5PAISA CAPITAL LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
5PAISA CAPITAL LIMITED,INZ000010231,Registered Stock Brokers in Equity Derivative Segment,teamcompliance@5Paisa.com,0917738225531,,"IIFL HOUSE, SUN INFOTECH PARK, ROAD NO. 16V, B-23, MIDC, THANE INDUSTRIAL AREA, WAGLE ESTATE,",,,"Sep 30, 2015 - Perpetual",5PAISA CAPITAL LIMITED,NSE Clearing Limited,,,,,
5PAISA CAPITAL LIMITED,INZ000010231,Registered Stock Brokers in Currency Derivative Segment,teamcompliance@5Paisa.com,0917738225531,,"IIFL HOUSE, SUN INFOTECH PARK, ROAD NO. 16V, B-23, MIDC, THANE INDUSTRIAL AREA, WAGLE ESTATE,",,,"Sep 30, 2015 - Perpetual",5PAISA CAPITAL LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
5PAISA CAPITAL LIMITED,INZ000010231,Registered Stock Brokers in Currency Derivative Segment,teamcompliance@5Paisa.com,0917738225531,,"IIFL HOUSE, SUN INFOTECH PARK, ROAD NO. 16V, B-23, MIDC, THANE INDUSTRIAL AREA, WAGLE ESTATE,",,,"Sep 30, 2015 - Perpetual",5PAISA CAPITAL LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
5PAISA CAPITAL LIMITED,INZ000010231,Registered Stock Brokers in equity segment,teamcompliance@5Paisa.com,0917738225531,,"IIFL HOUSE, SUN INFOTECH PARK, ROAD NO. 16V, B-23, MIDC, THANE INDUSTRIAL AREA, WAGLE ESTATE,",,,"Sep 30, 2015 - Perpetual",5PAISA CAPITAL LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
5PAISA CAPITAL LIMITED,INZ000010231,Registered Stock Brokers in Equity Derivative Segment,teamcompliance@5Paisa.com,0917738225531,,"IIFL HOUSE, SUN INFOTECH PARK, ROAD NO. 16V, B-23, MIDC, THANE INDUSTRIAL AREA, WAGLE ESTATE,",,,"Sep 30, 2015 - Perpetual",5PAISA CAPITAL LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
5PAISA CAPITAL LIMITED,INZ000010231,Registered Stock Brokers in equity segment,teamcompliance@5Paisa.com,0917738225531,,"IIFL HOUSE, SUN INFOTECH PARK, ROAD NO. 16V, B-23, MIDC, THANE INDUSTRIAL AREA, WAGLE ESTATE,",,,"Sep 30, 2015 - Perpetual",5PAISA CAPITAL LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
5PAISA CAPITAL LIMITED,INZ000010231,Registered Stock Brokers in Equity Derivative Segment,teamcompliance@5Paisa.com,0917738225531,,"IIFL HOUSE, SUN INFOTECH PARK, ROAD NO. 16V, B-23, MIDC, THANE INDUSTRIAL AREA, WAGLE ESTATE,",,,"Sep 30, 2015 - Perpetual",5PAISA CAPITAL LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
5PAISA CAPITAL LIMITED,INZ000010231,Registered Stock Brokers in Equity Derivative Segment,teamcompliance@5Paisa.com,0917738225531,,"IIFL HOUSE, SUN INFOTECH PARK, ROAD NO. 16V, B-23, MIDC, THANE INDUSTRIAL AREA, WAGLE ESTATE,",,,"Sep 30, 2015 - Perpetual",5PAISA CAPITAL LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
5PAISA CAPITAL LIMITED,INZ000010231,Registered Stock Brokers in Currency Derivative Segment,teamcompliance@5Paisa.com,0917738225531,,"IIFL HOUSE, SUN INFOTECH PARK, ROAD NO. 16V, B-23, MIDC, THANE INDUSTRIAL AREA, WAGLE ESTATE,",,,"Sep 30, 2015 - Perpetual",5PAISA CAPITAL LIMITED,NSE Clearing Limited,,,,,
5PAISA CAPITAL LIMITED,INZ000010231,Registered Stock Brokers in equity segment,teamcompliance@5Paisa.com,0917738225531,,"IIFL HOUSE, SUN INFOTECH PARK, ROAD NO. 16V, B-23, MIDC, THANE INDUSTRIAL AREA, WAGLE ESTATE,",,,"Sep 30, 2015 - Perpetual",5PAISA CAPITAL LIMITED,NSE Clearing Limited,,,,,
5PAISA CAPITAL LIMITED,INZ000010231,Registered Stock Brokers in Currency Derivative Segment,teamcompliance@5Paisa.com,0917738225531,,"IIFL HOUSE, SUN INFOTECH PARK, ROAD NO. 16V, B-23, MIDC, THANE INDUSTRIAL AREA, WAGLE ESTATE,",,,"Sep 30, 2015 - Perpetual",5PAISA CAPITAL LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
6 SIGMA WEALTH ADVISORS,INA200002536,Investment Adviser,6sigmawealth@gmail.com,44330033,44330033,"New No. 66, 3rd Main Road, Kasturba Nagar, Adyar, CHENNAI, TAMIL NADU, 600020",MR. S VENKATRAMAN MANAGING PARTNER,"Suite 806, MLS Business Centre - Tower II - Floor 8, TVH Beliciaa Towers, MRC Nagar, CHENNAI, TAMIL NADU, 600028","Dec 31, 2014 - Perpetual",,,,,,,
9 CAPITAL CONSULTANTS LLP,INZ000308458,Registered Stock Brokers in equity segment,9CAPITALCON@GMAIL.COM,919820483601,,"602, GANESH DARSHAN, L.T. ROAD, BORIVALI WEST,",,,"Sep 20, 2022 - Perpetual",9 CAPITAL CONSULTANTS LLP,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
9 CAPITAL CONSULTANTS LLP,INZ000308458,Registered Stock Brokers in Equity Derivative Segment,9CAPITALCON@GMAIL.COM,919820483601,,"602, GANESH DARSHAN, L.T. ROAD, BORIVALI WEST,",,,"Sep 20, 2022 - Perpetual",9 CAPITAL CONSULTANTS LLP,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
90-10 FINANCIAL PLANNERS PVT LTD,INA200008291,Investment Adviser,rajesh@90to10.com,,,"Jaiganesh, New No.1 and Old No. 321, 36th A Cross, 7th Main, 5th Block, Jayanagar,, BANGALORE, KARNATAKA, 560041",Rajesh Rao,"Jaiganesh, New No.1 and Old No. 321, 36th A Cross, 7th Main, 5th Block, Jayanagar, BANGALORE, KARNATAKA, 560041","Aug 22, 2017 - Perpetual",,,,,,,
A C AGARWAL SHARE BROKERS PRIVATE LIMITED,INZ000216930,Registered Stock Brokers in equity segment,aca.compliance@acagarwal.com,912652361059,,"406 , Payal Co Op Soc. Sayajiganj",,,"Jan 13, 2009 - Perpetual",A C AGARWAL SHARE BROKERS PRIVATE LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
A C AGARWAL SHARE BROKERS PRIVATE LIMITED,INZ000216930,Registered Stock Brokers in Equity Derivative Segment,aca.compliance@acagarwal.com,912652361059,,"406 , Payal Co Op Soc. Sayajiganj",,,"Jan 13, 2009 - Perpetual",A C AGARWAL SHARE BROKERS PRIVATE LIMITED,NSE Clearing Limited,,,,,
A C AGARWAL SHARE BROKERS PRIVATE LIMITED,INZ000216930,Registered Stock Brokers in Currency Derivative Segment,aca.compliance@acagarwal.com,912652361059,,"406 , Payal Co Op Soc. Sayajiganj",,,"Jan 13, 2009 - Perpetual",A C AGARWAL SHARE BROKERS PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
A C AGARWAL SHARE BROKERS PRIVATE LIMITED,INB011326437,Registered Stock Brokers in equity segment,,,,,,,"Nov 23, 2010 - Perpetual",A C AGARWAL SHARE BROKERS PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
A C AGARWAL SHARE BROKERS PRIVATE LIMITED,INZ000216930,Registered Stock Brokers in Currency Derivative Segment,aca.compliance@acagarwal.com,912652361059,,"406 , Payal Co Op Soc. Sayajiganj",,,"Jan 13, 2009 - Perpetual",A C AGARWAL SHARE BROKERS PRIVATE LIMITED,METROPOLITAN STOCK EXCHANGE,,,,,
A C AGARWAL SHARE BROKERS PRIVATE LIMITED,INZ000216930,Registered Stock Brokers in Currency Derivative Segment,aca.compliance@acagarwal.com,912652361059,,"406 , Payal Co Op Soc. Sayajiganj",,,"Jan 13, 2009 - Perpetual",A C AGARWAL SHARE BROKERS PRIVATE LIMITED,NSE Clearing Limited,,,,,
A C AGARWAL SHARE BROKERS PRIVATE LIMITED,INZ000216930,Registered Stock Brokers in Equity Derivative Segment,aca.compliance@acagarwal.com,912652361059,,"406 , Payal Co Op Soc. Sayajiganj",,,"Jan 13, 2009 - Perpetual",A C AGARWAL SHARE BROKERS PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
A C AGARWAL SHARE BROKERS PRIVATE LIMITED,INZ000216930,Registered Stock Brokers in equity segment,aca.compliance@acagarwal.com,912652361059,,"406 , Payal Co Op Soc. Sayajiganj",,,"Jan 13, 2009 - Perpetual",A C AGARWAL SHARE BROKERS PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
A C AGARWAL SHARE BROKERS PRIVATE LIMITED,INZ000216930,Registered Stock Brokers in Equity Derivative Segment,aca.compliance@acagarwal.com,912652361059,,"406 , Payal Co Op Soc. Sayajiganj",,,"Jan 13, 2009 - Perpetual",A C AGARWAL SHARE BROKERS PRIVATE LIMITED,METROPOLITAN STOCK EXCHANGE,,,,,
A C AGARWAL SHARE BROKERS PRIVATE LIMITED,INZ000216930,Registered Stock Brokers in equity segment,aca.compliance@acagarwal.com,912652361059,,"406 , Payal Co Op Soc. Sayajiganj",,,"Jan 13, 2009 - Perpetual",A C AGARWAL SHARE BROKERS PRIVATE LIMITED,METROPOLITAN STOCK EXCHANGE,,,,,
A C AGARWAL SHARE BROKERS PRIVATE LIMITED,INZ000216930,Registered Stock Brokers in equity segment,aca.compliance@acagarwal.com,912652361059,,"406 , Payal Co Op Soc. Sayajiganj",,,"Jan 13, 2009 - Perpetual",A C AGARWAL SHARE BROKERS PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
A C AGARWAL SHARE BROKERS PRIVATE LIMITED,INZ000216930,Registered Stock Brokers in equity segment,aca.compliance@acagarwal.com,912652361059,,"406 , Payal Co Op Soc. Sayajiganj",,,"Jan 13, 2009 - Perpetual",A C AGARWAL SHARE BROKERS PRIVATE LIMITED,NSE Clearing Limited,,,,,
A C AGARWAL SHARE BROKERS PRIVATE LIMITED,INZ000216930,Registered Stock Brokers in Equity Derivative Segment,aca.compliance@acagarwal.com,912652361059,,"406 , Payal Co Op Soc. Sayajiganj",,,"Jan 13, 2009 - Perpetual",A C AGARWAL SHARE BROKERS PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
A C CHOKSI SHARE BROKERS PRIVATE LIMITED,INP000004730,Registered Portfolio Managers,,02261595100,02261595100,"II ITTS HOUSE, 33 SRI SAI BABA MARG,, KALAGHODA, FORT., MUMBAI, MAHARASHTRA, 400001",ASHVIN C CHOKSI,"II ITTS HOUSE, 33 SRI SAI BABA MARG, KALAGHODA, FORT., MUMBAI, MAHARASHTRA, 400001","Jul 07, 2015 - Perpetual",,,,,,,
A C CHOKSI SHARE BROKERS PRIVATE LIMITED,INB260992939,Registered Stock Brokers in equity segment,,,,,,,"Feb 22, 2013 - Perpetual",A C CHOKSI SHARE BROKERS PRIVATE LIMITED,METROPOLITAN STOCK EXCHANGE,,,,,
A K I FINANCE AND SECURITIES (P) LTD,INF230855437,Registered Stock Brokers in Equity Derivative Segment,,,,,,,"Apr 24, 2002 - Perpetual",A K I FINANCE AND SECURITIES (P) LTD,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
